Plot,Subplot,Species,DBH,Status,Postfire,Class,Height,CBH,Notes
Blue-01,2,LIDE3,21.8,X,NA,NA,NA,NA,NA
Blue-01,3,LIDE3,13.6,X,NA,NA,NA,NA,NA
Blue-01,4,LIDE3,25.2,X,NA,NA,NA,NA,NA
Blue-01,4,LIDE3,14.7,X,NA,NA,NA,NA,NA
Blue-01,7,PSME,61,X,NA,NA,NA,NA,NA
Blue-01,7,PSME,13.5,X,NA,NA,NA,NA,NA
Blue-01,7,LIDE3,13.9,X,NA,NA,NA,NA,NA
Blue-01,7,LIDE3,20.2,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,74.1,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,63.7,X,NA,NA,NA,NA,NA
Blue-01,8,PSME,46.4,X,NA,NA,NA,NA,NA
Blue-01,1,LIDE3,12,X,NA,NA,NA,NA,NA
Blue-01,1,CHCH7,24.4,X,NA,NA,NA,NA,NA
Blue-01,5,LIDE3,21.3,X,NA,NA,NA,NA,NA
Blue-01,5,LIDE3,12.7,X,NA,NA,NA,NA,NA
Blue-01,9,LIDE3,16.5,X,NA,NA,NA,NA,NA
Blue-01,9,LIDE3,15.1,X,NA,NA,NA,NA,NA
Blue-01,9,CHCH7,43.5,X,NA,NA,NA,NA,NA
Blue-02,2,ACMA3,22.3,X,NA,NA,NA,NA,NA
Blue-02,2,QUCH2,16.8,X,NA,NA,NA,NA,NA
Blue-02,3,NONE,NA,NA,NA,NA,NA,NA,NA
Blue-02,4,PSME,47.8,X,NA,NA,NA,NA,NA
Blue-02,4,PSME,65.6,X,NA,NA,NA,NA,NA
Blue-02,6,PSME,12.4,X,NA,NA,NA,NA,NA
Blue-02,6,PSME,41.5,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,51.7,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,39.4,X,NA,NA,NA,NA,NA
Blue-02,7,PSME,81.3,X,NA,NA,NA,NA,NA
Blue-02,8,ARME,52.5,X,NA,NA,NA,NA,NA
Blue-02,8,ARME,31.1,X,NA,NA,NA,NA,NA
Blue-02,1,ARME,38.4,X,NA,NA,NA,NA,NA
Blue-02,1,PSME,12.8,X,NA,NA,NA,NA,NA
Blue-02,1,QUKE,15.1,X,NA,NA,NA,NA,NA
Blue-02,1,QUKE,22.7,X,NA,NA,NA,NA,NA
Blue-02,5,PSME,113.5,X,NA,NA,NA,NA,NA
Blue-02,9,PSME,12.9,X,NA,NA,NA,NA,NA
IAE-01,2,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,1,PSME,63.7,X,NA,NA,NA,NA,NA
IAE-01,1,QUCH2,12.2,X,NA,NA,NA,NA,NA
IAE-01,4,QUCH2,15.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,16.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,20.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,14.7,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,13.2,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,18.5,X,NA,NA,NA,NA,NA
IAE-01,9,QUKE,18.8,X,NA,NA,NA,NA,NA
IAE-01,6,PSME,33.2,X,NA,NA,NA,NA,NA
IAE-01,6,QUCH2,18,X,NA,NA,NA,NA,NA
IAE-01,8,QUCH2,33.5,X,NA,NA,NA,NA,NA
IAE-01,3,QUCH2,24.5,X,NA,NA,NA,NA,NA
IAE-01,5,PSME,48.2,X,NA,NA,NA,NA,NA
IAE-01,7,PSME,57.9,X,NA,NA,NA,NA,NA
IAE-01,7,QUKE,16.5,X,NA,NA,NA,NA,NA
IAE-01,7,QUKE,27.2,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,55.4,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,33.4,X,NA,NA,NA,NA,NA
IAE-01,7,PILA,13.8,X,NA,NA,NA,NA,NA
IAE-02,7,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,6,PSME,63,X,NA,NA,NA,NA,NA
IAE-02,6,PSME,70,X,NA,NA,NA,NA,NA
IAE-02,3,PSME,76,X,NA,NA,NA,NA,NA
IAE-02,3,QUCH2,13,X,NA,NA,NA,NA,NA
IAE-02,2,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,8,PSME,81,X,NA,NA,NA,NA,NA
IAE-02,8,PSME,72,X,NA,NA,NA,NA,NA
IAE-02,4,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-02,1,PSME,51,X,NA,NA,NA,NA,NA
IAE-02,1,QUCH2,20,X,NA,NA,NA,NA,NA
IAE-02,5,PSME,71,X,NA,NA,NA,NA,NA
IAE-02,9,QUCH2,20,X,NA,NA,NA,NA,NA
IAE-01,1,ARME,14.7,X,NA,NA,NA,NA,NA
IAE-01,1,ARME,19.1,X,NA,NA,NA,NA,NA
IAE-01,5,ARME,22.9,X,NA,NA,NA,NA,NA
IAE-01,9,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,3,ARME,19.3,X,NA,NA,NA,NA,NA
IAE-01,3,ARME,15.4,X,NA,NA,NA,NA,NA
IAE-01,3,PSME,13.8,X,NA,NA,NA,NA,NA
IAE-01,3,ARME,19.4,X,NA,NA,NA,NA,NA
IAE-01,6,NONE,NA,NA,NA,NA,NA,NA,NA
IAE-01,2,ARME,22.5,X,NA,NA,NA,NA,NA
IAE-01,2,ARME,27.4,X,NA,NA,NA,NA,NA
IAE-01,4,ARME,23.7,X,NA,NA,NA,NA,NA
IAE-01,4,ARME,15.6,X,NA,NA,NA,NA,NA
IAE-01,4,PSME,23.1,X,NA,NA,NA,NA,NA
IAE-01,7,PSME,75.2,X,NA,NA,NA,NA,NA
IAE-01,8,PIPO,43.5,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,15.6,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,21.6,X,NA,NA,NA,NA,NA
BWC-01,7,PSME,79.6,X,NA,NA,NA,NA,NA
BWC-01,7,QUKE,26.6,X,NA,NA,NA,NA,NA
BWC-01,6,PIPO,156.2,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,18.9,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,16.6,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,30.5,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,24,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,29.7,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,26.8,X,NA,NA,NA,NA,NA
BWC-01,6,QUKE,30.8,X,NA,NA,NA,NA,NA
BWC-01,2,NONE,NA,NA,NA,NA,NA,NA,NA
BWC-01,3,NONE,NA,NA,NA,NA,NA,NA,NA
BWC-01,4,PSME,51.5,X,NA,NA,NA,NA,NA
BWC-01,8,NONE,NA,NA,NA,NA,NA,NA,NA
BWC-01,1,PSME,39.2,X,NA,NA,NA,NA,NA
BWC-01,1,PSME,14.4,X,NA,NA,NA,NA,NA
BWC-01,1,PSME,18.7,X,NA,NA,NA,NA,NA
BWC-01,5,QUKE,32.6,X,NA,NA,NA,NA,NA
BWC-01,9,QUKE,30.2,X,NA,NA,NA,NA,NA
BWC-01,9,ARME,37.4,X,NA,NA,NA,NA,NA
BWU-01,3,PSME,68.5,X,NA,NA,NA,NA,NA
BWU-01,2,PSME,29.7,X,NA,NA,NA,NA,NA
BWU-01,4,PSME,65,X,NA,NA,NA,NA,NA
BWU-01,7,PSME,63.8,X,NA,NA,NA,NA,NA
BWU-01,6,PSME,58.2,X,NA,NA,NA,NA,NA
BWU-01,8,ARME,24.3,X,NA,NA,NA,NA,NA
BWU-01,8,PSME,58.5,X,NA,NA,NA,NA,NA
BWU-01,8,PSME,49.2,X,NA,NA,NA,NA,NA
BWU-01,1,NONE,NA,NA,NA,NA,NA,NA,NA
BWU-01,5,PSME,57.4,X,NA,NA,NA,NA,NA
BWU-01,9,NONE,NA,NA,NA,NA,NA,NA,NA
BWU-02,2,PSME,32.4,X,NA,NA,NA,NA,NA
BWU-02,2,PSME,27.5,X,NA,NA,NA,NA,NA
BWU-02,2,PSME,24,X,NA,NA,NA,NA,NA
BWU-02,2,PSME,30.8,X,NA,NA,NA,NA,NA
BWU-02,3,PSME,25.8,X,NA,NA,NA,NA,NA
BWU-02,3,PSME,62.2,X,NA,NA,NA,NA,NA
BWU-02,4,PSME,35.8,X,NA,NA,NA,NA,NA
BWU-02,4,PSME,40.2,X,NA,NA,NA,NA,NA
BWU-02,4,PSME,67.5,X,NA,NA,NA,NA,NA
BWU-02,6,PSME,41.2,X,NA,NA,NA,NA,NA
BWU-02,6,PSME,50,X,NA,NA,NA,NA,NA
BWU-02,7,PSME,41.4,X,NA,NA,NA,NA,NA
BWU-02,7,PSME,64.2,X,NA,NA,NA,NA,NA
BWU-02,7,PSME,22.2,X,NA,NA,NA,NA,NA
BWU-02,7,PSME,49.8,X,NA,NA,NA,NA,NA
BWU-02,8,PSME,40.5,X,NA,NA,NA,NA,NA
BWU-02,8,PSME,38.6,X,NA,NA,NA,NA,NA
BWU-02,1,PSME,32.3,X,NA,NA,NA,NA,NA
BWU-02,5,PSME,41,X,NA,NA,NA,NA,NA
BWU-02,5,PSME,33.6,X,NA,NA,NA,NA,NA
BWU-02,9,PSME,34.2,X,NA,NA,NA,NA,NA
BWU-02,9,PSME,47.3,X,NA,NA,NA,NA,NA
BWU-02,9,PSME,55.3,X,NA,NA,NA,NA,NA
PTR-02,8,CHCH7,27.3,X,NA,NA,NA,NA,NA
PTR-02,8,CHCH7,16.5,X,NA,NA,NA,NA,NA
PTR-02,8,CHCH7,34.1,X,NA,NA,NA,NA,NA
PTR-02,8,UNKC,18,X,NA,NA,NA,NA,NA
PTR-02,4,CHCH7,41.4,X,NA,NA,NA,NA,NA
PTR-02,7,ARME,35.6,X,NA,NA,NA,NA,NA
PTR-02,7,QUKE,22.4,X,NA,NA,NA,NA,NA
PTR-02,7,CHCH7,28.4,X,NA,NA,NA,NA,NA
PTR-02,7,CHCH7,26.4,X,NA,NA,NA,NA,NA
PTR-02,7,CHCH7,20.2,X,NA,NA,NA,NA,NA
PTR-02,7,UNK,17.7,X,NA,NA,NA,NA,NA
PTR-02,3,PSME,96,X,NA,NA,NA,NA,NA
PTR-02,3,UNK,15.6,X,NA,NA,NA,NA,NA
PTR-02,3,CHCH7,28.2,X,NA,NA,NA,NA,NA
PTR-02,3,CHCH7,37.8,X,NA,NA,NA,NA,NA
PTR-02,3,QUKE,21.4,X,NA,NA,NA,NA,NA
PTR-02,6,PSME,108.4,X,NA,NA,NA,NA,NA
PTR-02,2,NONE,NA,NA,NA,NA,NA,NA,NA
PTR-02,9,CHCH7,20.5,X,NA,NA,NA,NA,NA
PTR-02,9,CHCH7,20.5,X,NA,NA,NA,NA,NA
PTR-02,9,CHCH7,23.4,X,NA,NA,NA,NA,NA
PTR-02,9,CHCH7,34.7,X,NA,NA,NA,NA,NA
PTR-02,9,ARME,36,X,NA,NA,NA,NA,NA
PTR-02,9,ARME,20.1,X,NA,NA,NA,NA,NA
PTR-02,5,CHCH7,33.4,X,NA,NA,NA,NA,NA
PTR-02,5,CHCH7,21.5,X,NA,NA,NA,NA,NA
PTR-02,5,CHCH7,32.9,X,NA,NA,NA,NA,NA
PTR-02,5,UNK,15.2,X,NA,NA,NA,NA,NA
PTR-02,5,PILA,113.7,X,NA,NA,NA,NA,NA
PTR-02,5,CHCH7,25.7,X,NA,NA,NA,NA,NA
PTR-02,9,CHCH7,30.4,X,NA,NA,NA,NA,NA
LG-01,6,QUCH2,14.9,X,NA,NA,NA,NA,NA
LG-01,6,ARME,22.5,X,NA,NA,NA,NA,NA
LG-01,6,ARME,21.5,X,NA,NA,NA,NA,NA
LG-01,6,ARME,22.5,X,NA,NA,NA,NA,NA
LG-01,6,ARME,24,X,NA,NA,NA,NA,NA
LG-01,6,PSME,35.5,X,NA,NA,NA,NA,NA
LG-01,3,CHCH7,23.9,X,NA,NA,NA,NA,NA
LG-01,3,PSME,52,X,NA,NA,NA,NA,NA
LG-01,3,PSME,14.1,X,NA,NA,NA,NA,NA
LG-01,3,PSME,23.5,X,NA,NA,NA,NA,NA
LG-01,3,UNKB,15,X,NA,NA,NA,NA,NA
LG-01,7,PSME,54.6,X,NA,NA,NA,NA,NA
LG-01,4,PSME,32.7,X,NA,NA,NA,NA,NA
LG-01,4,PSME,34.6,X,NA,NA,NA,NA,NA
LG-01,4,PSME,27.6,X,NA,NA,NA,NA,NA
LG-01,8,PSME,26.4,X,NA,NA,NA,NA,NA
LG-01,2,CHCH7,42,X,NA,NA,NA,NA,NA
LG-01,2,CHCH7,23.9,X,NA,NA,NA,NA,NA
LG-01,2,UNKB,18,X,NA,NA,NA,NA,NA
LG-01,1,QUCH2,15,X,NA,NA,NA,NA,NA
LG-01,1,UNKB,26,X,NA,NA,NA,NA,NA
LG-01,1,UNKB,17.1,X,NA,NA,NA,NA,NA
LG-01,5,PSME,36.4,X,NA,NA,NA,NA,NA
LG-01,5,PSME,15.5,X,NA,NA,NA,NA,NA
LG-01,9,PSME,12,X,NA,NA,NA,NA,NA
LG-01,9,PSME,12.6,X,NA,NA,NA,NA,NA
ORL-01,8,PSME,16,X,NA,NA,NA,NA,NA
ORL-01,7,LIDE3,23.4,X,NA,NA,NA,NA,NA
ORL-01,6,QUKE,15.1,X,NA,NA,NA,NA,NA
ORL-01,6,PSME,16.6,X,NA,NA,NA,NA,NA
ORL-01,2,PSME,112,X,NA,NA,NA,NA,NA
ORL-01,3,PSME,39.7,X,NA,NA,NA,NA,NA
ORL-01,3,PSME,12.1,X,NA,NA,NA,NA,NA
ORL-01,3,ARME,26.9,X,NA,NA,NA,NA,NA
ORL-01,3,LIDE3,22.7,X,NA,NA,NA,NA,NA
ORL-01,4,LIDE3,38.4,X,NA,NA,NA,NA,NA
ORL-01,9,LIDE3,60.1,X,NA,NA,NA,NA,NA
ORL-01,9,LIDE3,45.2,X,NA,NA,NA,NA,NA
ORL-01,9,LIDE3,48.3,X,NA,NA,NA,NA,NA
ORL-01,9,LIDE3,40.9,X,NA,NA,NA,NA,NA
ORL-01,5,LIDE3,29.1,X,NA,NA,NA,NA,NA
ORL-01,1,PSME,19.8,X,NA,NA,NA,NA,NA
ORL-01,2,PSME,18.7,X,NA,NA,NA,NA,NA
ORL-01,1,ARME,14.5,X,NA,NA,NA,NA,NA
PAN-01,2,ARME,27.7,X,NA,NA,NA,NA,NA
PAN-01,2,ARME,15,X,NA,NA,NA,NA,NA
PAN-01,2,ARME,13.8,X,NA,NA,NA,NA,NA
PAN-01,2,ARME,18.5,X,NA,NA,NA,NA,NA
PAN-01,2,ARME,15.5,X,NA,NA,NA,NA,NA
PAN-01,3,PSME,12.8,X,NA,NA,NA,NA,NA
PAN-01,3,ARME,28.8,X,NA,NA,NA,NA,NA
PAN-01,3,ARME,31.4,X,NA,NA,NA,NA,NA
PAN-01,3,ARME,40.5,X,NA,NA,NA,NA,NA
PAN-01,4,ARME,30.5,X,NA,NA,NA,NA,NA
PAN-01,4,ARME,19,X,NA,NA,NA,NA,NA
PAN-01,4,ARME,23.5,X,NA,NA,NA,NA,NA
PAN-01,6,QUKE,15.7,X,NA,NA,NA,NA,NA
PAN-01,6,QUKE,12,X,NA,NA,NA,NA,NA
PAN-01,7,ARME,31.7,X,NA,NA,NA,NA,NA
PAN-01,7,ARME,35.1,X,NA,NA,NA,NA,NA
PAN-01,8,PSME,20,X,NA,NA,NA,NA,NA
PAN-01,8,PSME,35.5,X,NA,NA,NA,NA,NA
PAN-01,8,PSME,34.9,X,NA,NA,NA,NA,NA
PAN-01,8,QUKE,12,X,NA,NA,NA,NA,NA
PAN-01,1,QUKE,17,X,NA,NA,NA,NA,NA
PAN-01,1,QUKE,15.2,X,NA,NA,NA,NA,NA
PAN-01,5,ARME,22.8,X,NA,NA,NA,NA,NA
PAN-01,5,ARME,28.7,X,NA,NA,NA,NA,NA
PAN-01,5,ARME,26.7,X,NA,NA,NA,NA,NA
PAN-01,5,ARME,28.8,X,NA,NA,NA,NA,NA
PAN-01,5,ARME,12.1,X,NA,NA,NA,NA,NA
PAN-01,9,QUKE,17.2,X,NA,NA,NA,NA,NA
PAN-02,4,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-02,3,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-02,2,PSME,12.7,X,NA,NA,NA,NA,NA
PAN-02,2,PSME,34,X,NA,NA,NA,NA,NA
PAN-02,2,PSME,62,X,NA,NA,NA,NA,NA
PAN-02,2,PSME,24,X,NA,NA,NA,NA,NA
PAN-02,8,ARME,19.8,X,NA,NA,NA,NA,NA
PAN-02,8,ARME,32.5,X,NA,NA,NA,NA,NA
PAN-02,8,ARME,36.9,X,NA,NA,NA,NA,NA
PAN-02,7,QUKE,19,X,NA,NA,NA,NA,NA
PAN-02,7,QUCH2,10.9,X,NA,NA,NA,NA,Too small
PAN-02,7,QUCH2,20.3,X,NA,NA,NA,NA,NA
PAN-02,7,ARME,37.6,X,NA,NA,NA,NA,NA
PAN-02,6,ARME,31.3,X,NA,NA,NA,NA,NA
PAN-02,6,QUCH2,19.3,X,NA,NA,NA,NA,NA
PAN-02,6,PSME,13,X,NA,NA,NA,NA,NA
PAN-02,9,ARME,33.9,X,NA,NA,NA,NA,NA
PAN-02,5,PSME,115.5,X,NA,NA,NA,NA,NA
PAN-02,5,QUCH2,15.2,X,NA,NA,NA,NA,NA
PAN-02,1,PSME,13,X,NA,NA,NA,NA,NA
PAN-02,1,PSME,52.5,X,NA,NA,NA,NA,NA
PAN-02,1,PSME,12.5,X,NA,NA,NA,NA,NA
PAN-03,4,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,3,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,2,PSME,29.7,X,NA,NA,NA,NA,NA
PAN-03,2,PSME,35.6,X,NA,NA,NA,NA,NA
PAN-03,2,PSME,56.7,X,NA,NA,NA,NA,NA
PAN-03,8,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,7,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,9,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,5,NONE,NA,NA,NA,NA,NA,NA,NA
PAN-03,1,PSME,87,X,NA,NA,NA,NA,NA
PAN-03,1,PIPO,138.5,X,NA,NA,NA,NA,NA
LOM-01,6,PSME,41.4,X,NA,NA,NA,NA,NA
LOM-01,3,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-01,7,UNKC,51.9,X,NA,NA,NA,NA,NA
LOM-01,7,UNKC,32.7,X,NA,NA,NA,NA,NA
LOM-01,4,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-01,2,QUCH2,17.8,X,NA,NA,NA,NA,NA
LOM-01,2,QUCH2,15.7,X,NA,NA,NA,NA,NA
LOM-01,8,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-01,1,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-01,5,UNKC,55.9,X,NA,NA,NA,NA,NA
LOM-01,9,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-02,6,QUCH2,25,X,NA,NA,NA,NA,NA
LOM-02,7,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-02,2,QUCH2,20,X,NA,NA,NA,NA,NA
LOM-02,8,ARME,12.5,X,NA,NA,NA,NA,NA
LOM-02,8,QUCH2,69,X,NA,NA,NA,NA,NA
LOM-02,3,PSME,63,X,NA,NA,NA,NA,NA
LOM-02,4,NONE,NA,NA,NA,NA,NA,NA,NA
LOM-02,1,PSME,110,X,NA,NA,NA,NA,NA
LOM-02,5,PSME,51,X,NA,NA,NA,NA,NA
LOM-02,5,QUCH2,17,X,NA,NA,NA,NA,NA
LOM-02,9,QUCH2,26,X,NA,NA,NA,NA,NA
LOM-02,9,QUCH2,38,X,NA,NA,NA,NA,NA
STN-01,2,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,3,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,4,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,6,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,7,UNKC,13,X,NA,NA,NA,NA,NA
STN-01,7,UNKC,15,X,NA,NA,NA,NA,NA
STN-01,8,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,1,PSME,110.6,X,NA,NA,NA,NA,NA
STN-01,1,PSME,87.5,X,NA,NA,NA,NA,NA
STN-01,5,NONE,NA,NA,NA,NA,NA,NA,NA
STN-01,9,NONE,NA,NA,NA,NA,NA,NA,NA
STN-03,6,PSME,58.6,L,n,D,NA,NA,NA
STN-03,6,ARME,30.4,X,NA,NA,NA,NA,NA
STN-03,7,PSME,35.2,X,NA,NA,NA,NA,NA
STN-03,7,PSME,41.9,X,NA,NA,NA,NA,NA
STN-03,8,PSME,52.8,L,n,D,NA,NA,NA
STN-03,8,PSME,18.2,X,NA,NA,NA,NA,NA
STN-03,2,PSME,18.2,X,NA,NA,NA,NA,NA
STN-03,2,PSME,42,X,NA,NA,NA,NA,NA
STN-03,2,PSME,43.2,X,NA,NA,NA,NA,NA
STN-03,2,PSME,16,X,NA,NA,NA,NA,NA
STN-03,3,PSME,16.6,X,NA,NA,NA,NA,NA
STN-03,4,PSME,18.5,X,NA,NA,NA,NA,NA
STN-03,1,PSME,28.4,X,NA,NA,NA,NA,NA
STN-03,1,PSME,15.7,X,NA,NA,NA,NA,NA
STN-03,1,PSME,18.2,X,NA,NA,NA,NA,NA
STN-03,5,PSME,18.2,X,NA,NA,NA,NA,NA
STN-03,5,ARME,43,L,n,D,4,0.5,NA
STN-03,9,NONE,NA,NA,NA,NA,NA,NA,NA
BIS-01,2,NONE,NA,NA,NA,NA,NA,NA,NA
BIS-01,3,NONE,NA,NA,NA,NA,NA,NA,NA
BIS-01,4,PINUS,36.5,X,NA,NA,NA,NA,NA
BIS-01,4,PSME,54,L,n,NA,NA,NA,NA
BIS-01,4,UNKC,21,L,n,NA,NA,NA,NA
