Plot,Subplot,Species,DBH,Class,Height,CBH,Notes
Bear-01,2,PSME,6.2,D,3.75,0.75,NA
Bear-01,2,UMCA,2.4,C,1.75,0.5,NA
Bear-01,2,UMCA,1.7,C,2.2,0.5,NA
Bear-01,2,LIDE3,2.7,D,3,0.5,NA
Bear-01,2,LIDE3,3.7,D,3.25,0.25,NA
Bear-01,2,LIDE3,2.3,C,2.5,0.5,NA
Bear-01,2,LIDE3,1.7,D,2.5,0.5,NA
Bear-01,7,PSME,2.1,D,2.25,0.25,NA
Bear-01,7,PSME,3.3,D,3,0.5,NA
Bear-01,7,LIDE3,3.9,D,3,0,NA
Bear-01,7,LIDE3,2.2,D,2.5,0,NA
Bear-01,7,LIDE3,4.6,D,3,0.25,NA
Bear-01,7,LIDE3,2.6,C,2.25,0.25,NA
Bear-01,7,LIDE3,3.2,S,2.5,0.5,NA
Bear-01,7,LIDE3,3.7,D,2.75,0.25,NA
Bear-01,7,LIDE3,3.4,D,2.75,0.25,NA
Bear-01,7,LIDE3,2.7,D,2.25,0,NA
Bear-01,4,LIDE3,2.4,C,2.75,0.75,NA
Bear-01,4,LIDE3,5.6,D,4,1,NA
Bear-01,4,LIDE3,1.9,C,2.5,1.25,NA
Bear-01,4,LIDE3,1.7,I,2.25,1,NA
Bear-01,4,LIDE3,1.8,I,1.75,1,NA
Bear-01,4,LIDE3,2,C,2.5,1.25,NA
Bear-01,4,LIDE3,6.4,D,4.5,1.25,NA
Bear-01,4,LIDE3,2,C,3.75,1,NA
Bear-01,4,LIDE3,2.4,C,2.5,1,NA
Bear-01,4,LIDE3,7.2,D,5.25,1.25,NA
Bear-01,4,LIDE3,1.8,I,1.75,1,NA
Bear-01,4,LIDE3,1.9,C,2.5,1,NA
Bear-01,4,LIDE3,7.6,D,5,1.25,NA
Bear-01,4,LIDE3,1.6,I,2.25,1.25,NA
Bear-01,4,LIDE3,3.4,C,3,0.75,NA
Bear-01,4,LIDE3,6.6,D,4,1.25,NA
Bear-01,4,LIDE3,5,C,3,0.75,NA
Bear-01,4,LIDE3,5.7,D,3.5,0.75,NA
Bear-01,4,LIDE3,6.9,D,5.25,1.5,NA
Bear-01,4,LIDE3,4.9,C,3.5,1,NA
Bear-01,4,LIDE3,2.9,I,2.25,0.5,NA
Bear-01,4,LIDE3,3.4,I,2.75,0.5,NA
Bear-01,4,LIDE3,3.9,D,4.5,1,NA
Bear-01,4,PSME,2.2,I,3,0.75,NA
Bear-01,4,PSME,1.9,I,2.25,0.5,NA
Bear-01,4,PSME,3.5,D,3,0.75,NA
Bear-01,4,PSME,2.8,I,2.25,0.75,NA
Bear-01,4,PSME,4.6,D,3.5,1,NA
Bear-01,4,PSME,2.4,I,2.25,0.75,NA
Blue-01,2,LIDE3,7.6,X,NA,NA,NA
Blue-01,2,LIDE3,7.6,X,NA,NA,NA
Blue-01,2,LIDE3,2.9,X,NA,NA,NA
Blue-01,2,LIDE3,2.5,D,3,0,NA
Blue-01,2,LIDE3,2.9,D,3.25,0,NA
Blue-01,2,LIDE3,2.8,D,3.25,0,NA
Blue-01,2,LIDE3,3.1,D,3.25,0,NA
Blue-01,2,LIDE3,2.7,C,3,0,NA
Blue-01,2,LIDE3,2.1,C,2.25,0,NA
Blue-01,4,LIDE3,3,D,2.75,0,NA
Blue-01,4,LIDE3,1.9,C,2.25,0,NA
Blue-01,4,LIDE3,3,D,2.75,0,NA
Blue-01,4,LIDE3,11.2,X,NA,NA,NA
Blue-01,4,LIDE3,7.3,X,NA,NA,NA
Blue-01,4,LIDE3,2,C,2.5,0,NA
Blue-01,4,LIDE3,2.3,D,2.5,0.5,NA
Blue-01,4,LIDE3,2,X,NA,NA,NA
Blue-01,7,LIDE3,1.5,D,2.25,0,NA
Blue-01,7,LIDE3,10.1,X,NA,NA,NA
Blue-01,7,LIDE3,1.8,D,2.5,0.25,NA
Blue-01,7,LIDE3,1.9,D,2.75,0,NA
Blue-01,7,LIDE3,2.1,D,2.5,0.75,NA
Blue-01,7,LIDE3,2.5,D,3,1,NA
Blue-02,2,QUCH2,6.9,X,NA,NA,NA
Blue-02,4,ARME,3,D,2.5,0.75,NA
Blue-02,4,ARME,4.5,D,3.5,0.75,NA
Blue-02,4,LIDE3,3.5,D,3.25,0.75,NA
Blue-02,4,LIDE3,4.3,D,3.75,0.75,NA
Blue-02,4,LIDE3,2.7,C,3.5,0.75,NA
Blue-02,4,LIDE3,3.6,D,3.75,0.5,NA
Blue-02,4,LIDE3,2.8,D,2.75,0.5,NA
Blue-02,4,LIDE3,3,D,3,0.5,NA
Blue-02,4,LIDE3,2.7,C,2.5,0.5,NA
Blue-02,7,ARME,2,D,2.25,0.25,NA
Blue-02,7,PSME,9.6,X,NA,NA,NA
Blue-02,7,PSME,9.5,X,NA,NA,NA
Blue-02,7,PSME,11.3,X,NA,NA,NA
LG-01,4,PSME,7.9,X,NA,NA,NA
LG-01,4,QUCH2,11.9,X,NA,NA,NA
LG-01,2,ARME,6.2,C,4,1.5,NA
LG-01,2,ARME,1.5,I,2.7,1.6,NA
LG-01,2,ARME,5.3,D,3.9,1.7,NA
LG-01,2,ARME,7.6,D,5,1.2,NA
LG-01,2,ARME,1.7,I,2.7,1.5,NA
LG-01,2,ARME,1.8,I,2.4,1,NA
LG-01,2,ARME,3.2,C,4,2,NA
LG-01,2,ARME,4.2,C,2.9,1.6,NA
LG-01,2,ARME,4.5,C,3.1,1.3,NA
LG-01,2,ARME,3.3,C,3.9,1.2,NA
LG-01,2,ARME,1.6,I,2.3,1.2,NA
LG-01,7,NONE,NA,NA,NA,NA,NA
HCS-01,2,ABCO,2.3,C,2.75,0,NA
HCS-01,2,ABCO,2.5,I,2,0.25,NA
HCS-01,2,ABCO,2.2,C,2.25,0,NA
HCS-01,2,ABCO,2.9,C,2.5,0,NA
HCS-01,2,ABCO,3.1,C,2.75,0.25,NA
HCS-01,2,ABCO,3.3,C,3,0.25,NA
HCS-01,2,ABCO,3.6,C,2.75,0.5,NA
HCS-01,2,ABCO,1.8,I,2,0.25,NA
HCS-01,2,ABCO,2.3,C,2.5,0,NA
HCS-01,2,ABCO,2.5,I,2.5,0,NA
HCS-01,2,ABCO,4.5,C,3.25,0.25,NA
HCS-01,2,ABCO,3.6,I,3,0,NA
HCS-01,2,ABCO,5,D,3.5,0.25,NA
HCS-01,2,ABCO,4.7,C,3.5,0.25,NA
HCS-01,2,ABCO,1.5,I,1.75,0.25,NA
HCS-01,2,ABCO,2.2,I,2,0.75,NA
HCS-01,2,ABCO,2,I,2.25,0.5,NA
HCS-01,2,PSME,4.2,C,3,1,NA
HCS-01,2,PSME,1.7,I,2.25,0.5,NA
HCS-01,2,PSME,5.4,D,4.75,0.25,NA
HCS-01,2,PSME,7.3,C,4,0.5,NA
HCS-01,2,PSME,6.6,D,4,0.25,NA
HCS-01,2,ARME,1.7,I,2,0,NA
HCS-01,7,ABCO,2.8,D,2.75,0.25,NA
HCS-01,7,ABCO,3.1,D,2.75,0.25,NA
HCS-01,7,ABCO,3.1,C,2.5,0.5,NA
HCS-01,7,ABCO,1.7,I,1.75,0.5,NA
HCS-01,7,ABCO,1.7,I,2,0.5,NA
HCS-01,7,ABCO,1.5,I,1.75,0.5,NA
HCS-01,7,ABCO,2.1,C,2.25,0.25,NA
HCS-01,7,ABCO,2.4,C,2.5,0.25,NA
HCS-01,7,ABCO,1.7,I,2,0.25,NA
HCS-01,7,ABCO,2.1,C,2.25,0.75,NA
HCS-01,7,ABCO,2,I,2.25,0.75,NA
HCS-01,7,ABCO,2.6,C,2.25,0.5,NA
HCS-01,7,ABCO,1.8,I,1.75,0.5,NA
HCS-01,7,ABCO,1.8,I,2,0.5,NA
HCS-01,7,ABCO,3.1,I,1.5,0.5,NA
HCS-01,7,ABCO,3.8,D,3,0.75,NA
HCS-01,7,ABCO,3.2,C,2.5,0.5,NA
HCS-01,7,ABCO,1.8,I,2.25,0.75,NA
HCS-01,7,ABCO,1.7,C,2.25,0.5,NA
HCS-01,7,ABCO,1.5,I,1.75,0.75,NA
HCS-01,7,ABCO,2,I,2,0.5,NA
HCS-01,7,ABCO,2.5,I,2.25,0.5,NA
HCS-01,7,PSME,1.7,C,2.5,0.5,NA
HCS-01,7,PSME,3.9,D,3.25,0.25,NA
HCS-01,7,PSME,3.2,D,3.25,0.75,NA
HCS-01,7,PSME,2.7,C,2.75,0.75,NA
HCS-01,7,PSME,6.4,D,4.5,0.5,NA
HCS-01,7,PSME,3.6,D,3.25,0.5,NA
HCS-01,4,ABCO,2.6,C,2.25,0.5,NA
HCS-01,4,ABCO,2.6,C,2.25,0.5,NA
HCS-01,4,ABCO,3.3,C,3,0.5,NA
HCS-01,4,ABCO,2.5,C,2.25,0.5,NA
HCS-01,4,ABCO,3.1,C,2.5,0.75,NA
HCS-01,4,ABCO,1.8,C,2,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.25,NA
HCS-01,4,ABCO,1.6,C,1.75,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.5,NA
HCS-01,4,ABCO,2.7,C,2.25,0.25,NA
HCS-01,4,ABCO,1.2,C,1.75,0.5,NA
HCS-01,4,ABCO,3.2,C,2.25,0.5,NA
HCS-01,4,ABCO,1.5,C,1.75,0.25,NA
HCS-01,4,ABCO,2.2,C,2.25,0.5,NA
HCS-01,4,ABCO,2.7,C,2.5,0.75,NA
HCS-01,4,ABCO,1.6,C,2.25,0.5,NA
HCS-01,4,ABCO,2.2,C,2,0.5,NA
HCS-01,4,ABCO,2.4,C,2.25,0.75,NA
HCS-01,4,ABCO,3.2,C,2.5,0.25,NA
HCS-01,4,ABCO,3.3,C,2.75,2.5,NA
HCS-01,4,ABCO,2.6,C,2.5,0.5,NA
HCS-01,4,ABCO,1.7,C,2,0.25,NA
HCS-01,4,ABCO,3.1,C,1.75,0.25,NA
HCS-01,4,ABCO,1.4,C,2,0.75,NA
HCS-01,4,ABCO,1.8,C,1.75,0.25,NA
HCS-01,4,ABCO,2.3,C,2.25,0.5,NA
HCS-01,4,ABCO,1.4,C,1.75,0.25,NA
HCS-01,4,ABCO,1.6,C,1.75,0.25,NA
HCS-01,4,ABCO,3.6,C,3,0.5,NA
HCS-01,4,ABCO,2.4,C,2.5,0.75,NA
HCS-01,4,ABCO,2.7,C,2.5,0.5,NA
HCS-01,4,ABCO,1.8,I,1.75,0.75,NA
HCS-01,4,ABCO,2.7,D,3,0.5,NA
HCS-01,4,ABCO,2.5,C,2.25,0.25,NA
HCS-01,4,ABCO,1.6,C,2,0.5,NA
HCS-01,4,ABCO,1.5,C,1.75,0.25,NA
HCS-01,4,ABCO,1.6,C,1.75,0.25,NA
HCS-01,4,ABCO,1.5,C,2,0.5,NA
HCS-01,4,ABCO,2.5,C,3,0.5,NA
HCS-01,4,ABCO,1.7,C,2,0.5,NA
HCS-01,4,ABCO,1.9,C,1.75,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.75,NA
HCS-01,4,ABCO,2.2,C,2,0.5,NA
HCS-01,4,ABCO,3,C,3,0.25,NA
HCS-01,4,ABCO,2.3,C,2.25,0.75,NA
HCS-01,4,ABCO,2,C,2,0.5,NA
HCS-01,4,ABCO,4,C,3.5,0.25,NA
HCS-01,4,ABCO,1.5,C,2.5,0.5,NA
HCS-01,4,ABCO,1.5,C,1.75,0.75,NA
HCS-01,4,ABCO,1.9,C,1.25,0.5,NA
HCS-01,4,ABCO,1.8,C,2.25,0.5,NA
HCS-01,4,ABCO,2.7,C,2.25,0.25,NA
HCS-01,4,ABCO,2.2,C,2.25,1,NA
HCS-01,4,ABCO,1.7,C,2,0.5,NA
HCS-01,4,ABCO,3.3,C,2.5,0.5,NA
HCS-01,4,ABCO,2.4,C,2.25,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.5,NA
HCS-01,4,ABCO,1.8,C,2,0.75,NA
HCS-01,4,ABCO,1.5,C,2,0.5,NA
HCS-01,4,ABCO,2.1,C,2.25,0.75,NA
HCS-01,4,ABCO,1.6,C,2,0.75,NA
HCS-01,4,ABCO,1.8,C,2,0.5,NA
HCS-01,4,ABCO,2.6,C,2.25,0.5,NA
HCS-01,4,ABCO,2.2,C,2.25,0.5,NA
HCS-01,4,ABCO,3.1,C,2.5,0.5,NA
HCS-01,4,ABCO,2.9,C,2.25,0.5,NA
HCS-01,4,ABCO,2.4,C,2.25,0.5,NA
HCS-01,4,ABCO,1.7,C,1.75,0.5,NA
HCS-01,4,ABCO,1.7,C,1.75,0.5,NA
HCS-01,4,ABCO,1.5,C,1.5,0.5,NA
HCS-01,4,ABCO,1.8,C,2.25,0.75,NA
HCS-01,4,ABCO,3.5,C,2.5,0.5,NA
HCS-01,4,ABCO,1.6,C,1.5,0.75,NA
HCS-01,4,ABCO,2.1,C,2.25,0.75,NA
HCS-01,4,ABCO,1.9,C,2,0.75,NA
HCS-01,4,ABCO,1.5,C,2,0.5,NA
HCS-01,4,ABCO,2.1,C,2.25,0.75,NA
HCS-01,4,PSME,5.4,D,3.25,0.25,NA
HCS-01,4,PSME,2,C,2.25,0.75,NA
HCS-01,4,PSME,3.7,D,3,0.75,NA
HCS-01,4,PSME,4.1,D,3,0.5,NA
HCS-01,4,PSME,2.5,C,2.75,0.5,NA
HCS-01,4,PSME,3.2,C,3.25,0.5,NA
HCS-01,4,PSME,2.8,C,2.5,0.75,NA
HCS-01,4,PSME,2.9,C,2.75,0.5,NA
HCS-01,4,PSME,2.9,D,3,0.5,NA
HCS-01,4,PSME,1.5,C,1.25,0.75,NA
HCS-01,4,PSME,1.5,C,2,0.75,NA
HCS-01,4,PSME,3.9,C,2.75,0.75,NA
HCS-01,4,PSME,3,C,2.5,0.5,NA
STN-01,2,NONE,NA,NA,NA,NA,NA
STN-01,4,QUCH2,2.3,D,2.25,1.75,NA
STN-01,4,QUCH2,2.3,I,2.25,1,NA
STN-01,4,QUCH2,2.7,S,1.75,0.5,NA
STN-01,4,QUCH2,2.7,I,2.25,1,NA
STN-01,4,QUCH2,2.3,I,2.25,1.25,NA
STN-01,4,QUCH2,3.1,C,2.5,1,NA
STN-01,4,QUCH2,1.8,I,2,1.5,NA
STN-01,4,QUCH2,3.5,C,3,1.25,NA
STN-01,4,QUCH2,1.9,C,2.25,1,NA
STN-01,4,QUCH2,2.5,I,2.25,1,NA
STN-01,4,QUCH2,1.6,I,2.25,1,NA
STN-01,4,QUCH2,2.3,C,2.5,0.75,NA
STN-01,4,QUCH2,2.8,I,2.25,1,NA
STN-01,4,QUCH2,1.5,I,2.25,1.25,NA
STN-01,4,QUCH2,3.3,C,2.5,1,NA
STN-01,4,QUCH2,2.3,I,2.25,1.5,NA
STN-01,4,QUCH2,2.1,C,2,1.5,NA
STN-01,4,QUCH2,3.6,D,2.5,1,NA
STN-01,4,QUCH2,1.5,S,1.75,0.5,NA
STN-01,4,QUCH2,1.8,I,2.25,1,NA
STN-01,4,QUCH2,2.7,S,2.25,1,NA
STN-01,4,QUCH2,2.6,I,2.25,1,NA
STN-01,4,QUCH2,2,S,1.75,1.25,NA
STN-01,4,QUCH2,2.1,C,2.5,1.5,NA
STN-01,4,QUCH2,2,I,2.5,1.5,NA
STN-01,4,QUCH2,1.6,I,2.25,1.5,NA
STN-01,7,QUCH2,2.8,D,2.5,0.5,NA
STN-01,7,QUCH2,3,C,2.5,1.25,NA
STN-01,7,QUCH2,4,C,2.25,1,NA
STN-01,7,QUCH2,2.5,C,2,1,NA
STN-01,7,QUCH2,4,C,3.25,1,NA
STN-01,7,QUCH2,1.8,C,2.5,1,NA
STN-01,7,QUCH2,3,C,2.75,1.5,NA
STN-01,7,QUCH2,5,C,3.75,1.25,NA
PAN-01,2,ARME,2.5,S,1.75,0.75,NA
PAN-01,2,ARME,4.8,C,3.25,1.25,NA
PAN-01,2,ARME,3.6,I,2.5,1,NA
PAN-01,2,ARME,4.2,C,3.25,1,NA
PAN-01,2,ARME,1.7,C,2.25,0.75,NA
PAN-01,2,ARME,1.9,I,2.75,0.75,NA
PAN-01,2,ARME,3.9,C,3.25,1,NA
PAN-01,2,ARME,3.6,C,2.25,0.25,NA
PAN-01,4,ARME,3.4,I,3,1,NA
PAN-01,4,ARME,4.5,C,3.25,1.5,NA
PAN-01,4,ARME,2,I,1.75,0.5,NA
PAN-01,4,ARME,2.4,I,2,1,NA
PAN-01,4,ARME,2.5,I,2.5,1.5,NA
PAN-01,4,ARME,3.1,C,2.5,1,NA
PAN-01,4,ARME,2.1,I,2.25,1.25,NA
PAN-01,4,ARME,2.1,C,2.25,1.25,NA
PAN-01,4,ARME,2.5,I,2.5,1.5,NA
PAN-01,4,ARME,1.7,S,1,0.75,NA
PAN-01,4,ARME,2.1,C,2.75,0.75,NA
PAN-01,4,ARME,3.4,C,2.5,1.25,NA
PAN-01,4,ARME,5,D,3.25,1.75,NA
PAN-01,4,ARME,2.2,C,2.5,1.5,NA
PAN-01,4,ARME,2.4,S,2,1.25,NA
PAN-01,4,ARME,2.8,I,1.75,1,NA
PAN-01,4,ARME,3.9,C,2.5,1,NA
PAN-01,4,ARME,1.6,S,1.75,0.25,NA
PAN-01,4,ARME,3.6,D,3,1,NA
PAN-01,4,ARME,2.7,C,2.5,1.5,NA
PAN-01,4,ARME,2,C,2.25,1.5,NA
PAN-01,4,ARME,1.1,I,2.25,1.25,"DBH is too small to be recorded under small trees, recorded as 1.1 on the data sheet"
PAN-01,7,ARME,3.5,D,3,1,NA
PAN-01,7,ARME,2.3,I,2.25,0.75,NA
PAN-01,7,ARME,1.5,S,2,1.25,NA
PAN-01,7,QUKE,2.6,D,3.5,1.25,NA
KT-01,2,PSME,8,I,6.25,0.5,NA
KT-01,2,SALIX,2.5,S,3.5,2.25,NA
KT-01,2,QUCH2,7.8,I,4.25,0.5,NA
KT-01,2,PIAT,5.3,I,3.75,1.25,NA
KT-01,2,QUCH2,5.9,S,4,0.5,NA
KT-01,2,QUCH2,4.6,i,3.5,0.5,NA
KT-01,2,QUCH2,7.2,C,5.25,0.25,NA
KT-01,4,QUCH2,4.7,S,5,0.75,NA
KT-01,4,SALIX,1.9,S,3,1.75,NA
KT-01,4,PSME,1.8,S,2.5,0.5,NA
KT-01,4,ARME,4.2,S,3,1.75,NA
KT-01,4,QUCH2,10.5,C,8.25,1.5,NA
KT-01,4,SALIX,4.6,C,5.75,3,NA
KT-01,4,ABCO,1.7,S,2.25,0.75,NA
KT-01,4,PIPO,2.5,S,3,2.75,NA
KT-01,4,QUCH2,6.5,S,4.75,2.75,NA
KT-01,4,SALIX,2.8,S,4.5,2.75,NA
KT-01,4,PSME,6.8,I,5.25,1.75,NA
KT-01,4,QUCH2,4.1,S,4,1.75,NA
KT-01,4,PIPO,11.1,C,7.25,3,NA
KT-01,4,QUCH2,2.8,S,2.25,0.75,NA
KT-01,4,SALIX,3,S,3,2.5,NA
KT-01,4,QUCH2,9.5,C,4.75,1.25,NA
KT-01,7,PIPO,9.5,D,4.75,1,NA
KT-01,7,PIPO,5.3,S,3,1.75,NA
STN-03,2,LIDE3,3.3,C,2.5,0.75,NA
STN-03,2,PSME,1.6,D,2.25,0.25,NA
STN-03,2,LIDE3,3.6,I,3.5,1,NA
STN-03,2,LIDE3,3.7,C,3.75,0.75,NA
STN-03,2,LIDE3,2.1,C,4,1.25,NA
STN-03,4,LIDE3,5.1,C,5.5,0.75,NA
STN-03,4,LIDE3,2.3,I,3.25,1,NA
STN-03,4,LIDE3,3.7,C,3.25,1.25,NA
STN-03,4,LIDE3,1.5,I,2.25,0.25,NA
STN-03,4,LIDE3,5.6,D,5.75,1,NA
STN-03,4,LIDE3,1.7,D,3.75,3.25,NA
STN-03,4,LIDE3,2.7,C,3,1.25,NA
STN-03,4,LIDE3,5.1,C,4.25,1.5,NA
STN-03,7,LIDE3,2.5,D,3,1,NA
STN-03,7,LIDE3,3.8,C,3.5,1.5,NA
STN-03,7,LIDE3,5.3,D,4,0.75,NA
STN-03,7,CONU4,3.4,D,3.75,1.25,NA
STN-03,7,LIDE3,1.8,C,2.25,1,NA
STN-03,7,LIDE3,2.4,I,2.5,0.75,NA
STN-03,7,LIDE3,1.5,D,2.25,0.5,NA
STN-03,7,LIDE3,2,C,3.75,1.25,NA
STN-03,7,LIDE3,1.9,S,1.5,1,NA
STN-03,7,CONU4,2.9,C,3.25,0.75,NA
STN-03,7,LIDE3,2.7,C,3.25,0.75,NA
STN-03,7,LIDE3,1.6,S,2,0.5,NA
STN-03,7,LIDE3,4,D,3.25,0.75,NA
STN-03,7,LIDE3,3.8,C,3.25,1.25,NA
STN-03,7,LIDE3,2.1,C,2.75,0.75,NA
STN-03,7,LIDE3,2.1,D,3.5,1,NA
PAN-03,2,NONE,NA,NA,NA,NA,NA
PAN-03,4,CONU4,7.3,X,NA,NA,NA
PAN-03,4,PSME,5.8,X,NA,NA,NA
PAN-03,4,CONU4,1.6,D,2.75,1,NA
PAN-03,4,PSME,2.8,X,NA,NA,NA
PAN-03,7,CONU4,2.2,C,3,1,NA
PAN-03,7,CONU4,2.1,C,3,1.5,NA
PAN-03,7,PSME,3,X,NA,NA,NA
PAN-03,7,SALIX,1.6,C,3,1.75,NA
PAN-03,7,CONU4,1.6,NA,NA,NA,"Class, height, and CBH were not recorded"
PAN-03,7,CONU4,2.7,C,3.25,1.25,NA
PAN-03,7,CONU4,11.9,X,NA,NA,NA
PAN-03,7,SALIX,2.1,C,3.25,2,NA
PAN-03,7,CONU4,1.7,C,3.5,1.5,NA
PAN-02,2,PSME,5.5,X,NA,NA,NA
PAN-02,2,PSME,9,X,NA,NA,NA
PAN-02,4,CHCH7,1.8,C,2,0.75,NA
PAN-02,4,PSME,6.7,X,NA,NA,NA
PAN-02,4,UNK,6.2,X,NA,NA,NA
PAN-02,4,PSME,3.9,X,NA,NA,NA
PAN-02,7,QUKE,4.7,C,3.75,1.75,NA
PAN-02,7,QUKE,3,C,2.75,1.25,NA
PAN-02,7,PSME,6.1,X,NA,NA,NA
PAN-02,7,ACMA3,2.4,I,3.5,1.25,NA
PAN-02,7,ACMA3,3.5,C,4,3.25,NA
PAN-02,7,ARME,1.9,I,2.5,2,NA
PAN-02,7,ARME,1.8,C,2.5,1.5,NA
PAN-02,7,ARME,1.8,I,2.25,1.5,NA
PAN-02,7,QUKE,3.8,C,3.75,2,NA
PAN-02,7,QUKE,2.4,C,2.75,1.5,NA
PAN-02,7,ACMA3,2.4,C,4,2.5,NA
PAN-02,7,ACMA3,1.7,I,2.75,1.75,NA
PAN-02,7,ARME,2.4,I,2.5,1.75,NA
PAN-02,7,ARME,2,C,2.25,1.5,NA
PAN-02,7,ARME,2.9,I,2.5,1.5,NA
PAN-02,7,QUKE,1.6,I,2.75,2.25,NA
PAN-02,7,ACMA3,2.9,C,3.75,2,NA
PAN-02,7,ACMA3,3.9,D,5.75,2,NA
PAN-02,7,ARME,2.4,I,2.5,2,NA
PAN-02,7,ARME,2.4,C,2.5,1.75,NA
PAN-02,7,ARME,1.5,I,2,1,NA
BBM-01,2,ARME,1.5,I,2.25,0.5,NA
BBM-01,2,QUCH2,2.1,I,2.5,0.75,NA
BBM-01,4,QUCH2,2.4,D,3.25,0.25,NA
BBM-01,7,QUCH2,3.7,C,3.5,0.5,NA
BBM-01,7,QUCH2,3.7,C,4.5,1.5,NA
BBM-01,7,QUCH2,2.5,I,3.25,1.25,NA
BBM-01,7,QUCH2,4.4,C,3,1.5,NA
BBM-01,7,QUCH2,3.3,C,3.5,1.25,NA
BBM-01,7,QUCH2,3.3,C,3.75,1,NA
BBM-01,7,QUCH2,3.5,C,4.25,1.75,NA
BBM-01,7,QUCH2,6.1,C,6,1,NA
BBM-01,7,QUCH2,6,C,4.5,1.25,NA
BBM-01,7,QUCH2,6,C,4.5,1.5,NA
BBM-01,7,QUCH2,1.8,C,3.5,0.5,NA
BBM-01,7,QUCH2,3.7,C,4,1.5,NA
BBM-01,7,QUCH2,3.8,C,5,1.5,NA
BBM-01,7,QUCH2,4.3,C,4,1.25,NA
IAE-01,2,NONE,NA,NA,NA,NA,NA
IAE-01,4,NONE,NA,NA,NA,NA,NA
IAE-01,7,QUKE,3,D,3,1.5,NA
IAE-01,7,QUKE,3.4,C,4.25,1.5,NA
IAE-01,7,QUKE,2.6,I,3.25,1.5,NA
IAE-01,7,QUKE,2.7,I,3,1.25,NA
